gas_param,opcode,category,client,runtime_ms,exact,rounded,current,loss_round,rate_round,loss_current,rate_current,below_1,is_base,count,weight
OPCODE_JUMPDEST,JUMPDEST,Control flow,besu,1.8973861277016571e-06,0.1897386127701657,1,1,0.8102613872298343,0.8102613872298343,0.8102613872298343,0.8102613872298343,True,True,22444053954.0,0.07744652528116483
PRECOMPILE_BLAKE2F_PER_ROUND,BLAKE2F,Precompile,besu,2.2209551847594964e-06,0.22209551847594963,1,1,0.7779044815240503,0.7779044815240503,0.7779044815240503,0.7779044815240503,True,False,,
OPCODE_PUSH0,PUSH0,Stack,besu,2.6216739112873544e-06,0.26216739112873544,1,2,0.7378326088712646,0.7378326088712646,1.7378326088712646,0.8689163044356323,True,True,3816385828.0,0.013169003341225935
PRECOMPILE_SHA256_PER_WORD,SHA256,Precompile,geth,3.0626171070178995e-06,0.30626171070179,1,12,0.69373828929821,0.69373828929821,11.69373828929821,0.9744781907748509,True,False,,
OPCODE_SWAP,SWAP4,Stack,besu,3.168585877185588e-06,0.3168585877185588,1,3,0.6831414122814412,0.6831414122814412,2.683141412281441,0.8943804707604803,True,True,34392266838.0,0.11867559972030059
OPCODE_GASPRICE,GASPRICE,Block/tx,besu,3.4074146277525595e-06,0.34074146277525597,1,2,0.659258537224744,0.659258537224744,1.6592585372247441,0.8296292686123721,True,True,1388422.0,4.79095531245422e-06
OPCODE_BLOBBASEFEE,BLOBBASEFEE,Block/tx,besu,3.5326723437737055e-06,0.3532672343773705,1,2,0.6467327656226295,0.6467327656226295,1.6467327656226294,0.8233663828113147,True,True,59679.0,2.0593120974167463e-07
OPCODE_CHAINID,CHAINID,Block/tx,besu,3.541721958635796e-06,0.3541721958635796,1,2,0.6458278041364204,0.6458278041364204,1.6458278041364203,0.8229139020682101,True,True,9552989.0,3.2964000425927216e-05
OPCODE_BASEFEE,BASEFEE,Block/tx,besu,3.5695604233639813e-06,0.3569560423363981,1,2,0.6430439576636019,0.6430439576636019,1.6430439576636018,0.8215219788318009,True,True,1106595.0,3.818469596408928e-06
OPCODE_PREVRANDAO,PREVRANDAO,Block/tx,besu,3.60348802743442e-06,0.36034880274344205,1,2,0.639651197256558,0.639651197256558,1.639651197256558,0.819825598628279,True,True,,
OPCODE_GAS,GAS,Control flow,besu,3.6130001326843146e-06,0.3613000132684314,1,2,0.6386999867315686,0.6386999867315686,1.6386999867315686,0.8193499933657843,True,True,548639868.0,0.0018931629506150015
OPCODE_PC,PC,Control flow,besu,3.61555535524498e-06,0.361555535524498,1,2,0.6384444644755021,0.6384444644755021,1.638444464475502,0.819222232237751,True,True,1640460.0,5.660649681342307e-06
OPCODE_MSIZE,MSIZE,Memory,besu,3.794688214122974e-06,0.37946882141229743,1,2,0.6205311785877026,0.6205311785877026,1.6205311785877026,0.8102655892938513,True,True,274093.0,9.457984060008515e-07
OPCODE_GASLIMIT,GASLIMIT,Block/tx,besu,3.804684139420664e-06,0.3804684139420664,1,2,0.6195315860579336,0.6195315860579336,1.6195315860579336,0.8097657930289668,True,True,6332.0,2.184950183622855e-08
OPCODE_DUP,DUP2,Stack,besu,3.8049565865466046e-06,0.38049565865466045,1,3,0.6195043413453396,0.6195043413453396,2.6195043413453396,0.8731681137817798,True,True,51942052112.0,0.1792337275740087
OPCODE_TIMESTAMP,TIMESTAMP,Block/tx,besu,3.814447734821336e-06,0.3814447734821336,1,2,0.6185552265178664,0.6185552265178664,1.6185552265178664,0.8092776132589332,True,True,60894161.0,0.00021012430236656617
OPCODE_NUMBER,NUMBER,Block/tx,besu,3.818243231982728e-06,0.38182432319827286,1,2,0.6181756768017271,0.6181756768017271,1.618175676801727,0.8090878384008635,True,True,7392139.0,2.5507668138685516e-05
OPCODE_CLZ,CLZ,Bitwise,besu,3.936627102850435e-06,0.3936627102850435,1,5,0.6063372897149565,0.6063372897149565,4.606337289714957,0.9212674579429914,True,True,620815.0,2.1422139106851275e-06
OPCODE_CALLDATASIZE,CALLDATASIZE,Call context,besu,3.994445966494949e-06,0.3994445966494949,1,2,0.6005554033505052,0.6005554033505052,1.6005554033505052,0.8002777016752526,True,True,1158909520.0,0.003998988579479272
OPCODE_ISZERO,ISZERO,Comparison,besu,4.052605080183317e-06,0.40526050801833174,1,3,0.5947394919816682,0.5947394919816682,2.5947394919816684,0.8649131639938895,True,True,7748846104.0,0.02673853872046754
OPCODE_NOT,NOT,Bitwise,besu,4.178922523429293e-06,0.41789225234292926,1,3,0.5821077476570707,0.5821077476570707,2.5821077476570706,0.8607025825523569,True,True,941556571.0,0.0032489801053344216
OPCODE_PUSH,PUSH6,Stack,besu,4.482450986685209e-06,0.44824509866852086,1,3,0.5517549013314791,0.5517549013314791,2.551754901331479,0.850584967110493,True,True,72373387523.0,0.24973507005335896
OPCODE_CALLVALUE,CALLVALUE,Call context,besu,4.9571051213099935e-06,0.49571051213099937,1,2,0.5042894878690006,0.5042894878690006,1.5042894878690007,0.7521447439345004,True,True,302796818.0,0.0010448451722828746
OPCODE_ADD,ADD,Arithmetic,besu,1.0047238380601524e-05,1.0047238380601524,2,3,0.9952761619398476,0.4976380809699238,1.9952761619398476,0.6650920539799492,False,True,13267305065.0,0.04578079696454862
OPCODE_SHR,SHR,Bitwise,besu,5.0245210599395715e-06,0.5024521059939572,1,3,0.4975478940060428,0.4975478940060428,2.497547894006043,0.8325159646686809,True,True,2001885005.0,0.006907800077805733
OPCODE_SHL,SHL,Bitwise,besu,5.303862689664328e-06,0.5303862689664328,1,3,0.4696137310335672,0.4696137310335672,2.4696137310335673,0.8232045770111891,True,True,2575945845.0,0.00888868184939242
OPCODE_SUB,SUB,Arithmetic,besu,1.062650457246921e-05,1.0626504572469209,2,3,0.9373495427530791,0.46867477137653957,1.9373495427530791,0.645783180917693,False,True,4557717029.0,0.015727076215120914
OPCODE_MSTORE8_BASE,MSTORE8,Memory,besu,1.1126984798956496e-05,1.1126984798956496,2,3,0.8873015201043504,0.4436507600521752,1.8873015201043504,0.6291005067014501,False,True,58635975.0,0.00020233209782557666
OPCODE_ADDRESS,ADDRESS,Call context,erigon,5.569183233537793e-06,0.5569183233537792,1,2,0.4430816766462208,0.4430816766462208,1.4430816766462207,0.7215408383231103,True,True,115736888.0,0.00039936723734607994
OPCODE_COINBASE,COINBASE,Block/tx,erigon,5.586026426249474e-06,0.5586026426249474,1,2,0.4413973573750526,0.4413973573750526,1.4413973573750525,0.7206986786875262,True,True,1789948.0,6.176480118880863e-06
OPCODE_CALLER,CALLER,Call context,erigon,5.590969187852298e-06,0.5590969187852297,1,2,0.4409030812147703,0.4409030812147703,1.4409030812147703,0.7204515406073851,True,True,457619484.0,0.0015790836632899497
OPCODE_RETURNDATASIZE,RETURNDATASIZE,Call context,besu,5.66249557935352e-06,0.5662495579353519,1,2,0.4337504420646481,0.4337504420646481,1.433750442064648,0.716875221032324,True,True,563448575.0,0.00194426258276735
OPCODE_ORIGIN,ORIGIN,Block/tx,erigon,5.719103704736268e-06,0.5719103704736268,1,2,0.4280896295263732,0.4280896295263732,1.4280896295263732,0.7140448147631866,True,True,23834872.0,8.224574850446502e-05
OPCODE_MLOAD_BASE,MLOAD,Memory,besu,1.2473448882896496e-05,1.2473448882896496,2,3,0.7526551117103504,0.3763275558551752,1.7526551117103504,0.5842183705701168,False,True,6325867658.0,0.02182834128382972
OPCODE_EQ,EQ,Comparison,besu,1.2621416024160628e-05,1.2621416024160628,2,3,0.7378583975839372,0.3689291987919686,1.7378583975839372,0.5792861325279791,False,True,4331552685.0,0.014946662720250822
OPCODE_SMOD,SMOD,Arithmetic,besu,2.0127604072615668e-05,2.012760407261567,3,5,0.9872395927384332,0.3290798642461444,2.987239592738433,0.5974479185476866,False,True,14064853.0,4.853285398764761e-05
OPCODE_JUMPI,JUMPI,Control flow,besu,6.968489638670634e-06,0.6968489638670634,1,10,0.3031510361329366,0.3031510361329366,9.303151036132936,0.9303151036132936,True,True,14581442388.0,0.050315422020130576
OPCODE_GT,GT,Comparison,besu,2.1506010243283795e-05,2.1506010243283793,3,3,0.8493989756716207,0.28313299189054025,0.8493989756716207,0.28313299189054025,False,True,2525487567.0,0.008714568103685861
OPCODE_LT,LT,Comparison,besu,2.1607146332035873e-05,2.1607146332035874,3,3,0.8392853667964126,0.27976178893213755,0.8392853667964126,0.27976178893213755,False,True,3334481507.0,0.011506121258696564
OPCODE_SIGNEXTEND,SIGNEXTEND,Arithmetic,besu,2.203435182773129e-05,2.203435182773129,3,5,0.7965648172268711,0.2655216057422904,2.796564817226871,0.5593129634453742,False,True,459996808.0,0.0015872869711079079
