anchor_mgas,op_mean_round,op_median_round,op_mean_current,op_median_current,traffic_round,traffic_current,frac_below_1,n_below_1,n_ops,n_current
10,0.6864641542220427,0.8995276161939848,0.9371349845618112,0.9719148999796278,0.04103672339853728,0.15396412144142368,0.7808219178082192,57,73,72
25,0.5695413939808949,0.748819040484962,0.8718692489854981,0.9297872499490694,0.03662808671238951,0.14866393378853496,0.7397260273972602,54,73,72
50,0.44925266034493955,0.4976380809699238,0.7841041121340674,0.8595744998981388,0.03223471345581275,0.14037995826702818,0.6301369863013698,46,73,72
75,0.3600466901786271,0.30303919104515825,0.7105044618152687,0.7893617498472081,0.028240935187517635,0.13236661898352023,0.5616438356164384,41,73,72
100,0.3061509785448758,0.27976178893213755,0.6463972738615905,0.7191489997962776,0.026384618696885968,0.12437422684038144,0.4931506849315068,36,73,72
125,0.27102317674251175,0.3011288515184627,0.5823021478825438,0.6489362497453469,0.023752495487825123,0.1163818837794888,0.410958904109589,30,73,72
150,0.2223509266466948,0.1897320125486548,0.5214158882284342,0.5787234996944164,0.02181434005523084,0.10860033266780882,0.3835616438356164,28,73,72
175,0.16670729918165192,0.12070881451057491,0.4669639453824762,0.5085107496434857,0.01597639113773179,0.10111729876199972,0.3698630136986301,27,73,72
200,0.17419384737530189,0.16421549531414148,0.4140058801486751,0.4382979995925551,0.016816838695097452,0.0939734403504722,0.2876712328767123,21,73,72
225,0.14515229164800456,0.10838070510157358,0.3630406823435429,0.36808524954162447,0.022996320203758802,0.08696615883141524,0.2602739726027397,19,73,72
250,0.13092375882004728,0.09611116118875507,0.3181841359919751,0.29787249949069383,0.021683527589619434,0.08027837781316038,0.2328767123287671,17,73,72
275,0.1465205317415827,0.0899640042503961,0.2778360588707886,0.22765974943976316,0.025139723227087293,0.07393956311394198,0.136986301369863,10,73,72
300,0.16540027175505315,0.09080212341274993,0.24234048014054096,0.15744699938883266,0.0257219884817416,0.06891600281536123,0.0410958904109589,3,73,72
