gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_bn128,param_calldata_size,param_copy_size,param_k,param_mem_size,param_mod_bits,param_opcode,param_return_size,param_returned_size,new_gas_decimal,new_gas_rounded
OPCODE_GAS,besu,3.6130001326843146e-06,3.5058015289933723e-06,3.7104366887501715e-06,test_gas_op,GAS,target_coef,0.0,,,,,,,,,,0.3613000132684314,1
OPCODE_BASEFEE,besu,3.5695604233639813e-06,3.453238508300724e-06,3.6745097363382913e-06,test_block_context_ops,BASEFEE,target_coef,0.0,,,,,,,,,,0.3569560423363981,1
OPCODE_BLOBBASEFEE,besu,3.5326723437737055e-06,3.4228492744095043e-06,3.640611661654553e-06,test_block_context_ops,BLOBBASEFEE,target_coef,0.0,,,,,,,,,,0.3532672343773705,1
OPCODE_CHAINID,besu,3.541721958635796e-06,3.437990669233878e-06,3.6467051857912213e-06,test_block_context_ops,CHAINID,target_coef,0.0,,,,,,,,,,0.3541721958635796,1
OPCODE_COINBASE,erigon,5.586026426249474e-06,5.353504706474608e-06,5.818157051362027e-06,test_block_context_ops,COINBASE,target_coef,0.0,,,,,,,,,,0.5586026426249474,1
OPCODE_GASLIMIT,besu,3.8046841394206644e-06,3.70105903006087e-06,3.907104172431872e-06,test_block_context_ops,GASLIMIT,target_coef,0.0,,,,,,,,,,0.38046841394206643,1
OPCODE_NUMBER,besu,3.818243231982728e-06,3.7212423964700445e-06,3.919192182266659e-06,test_block_context_ops,NUMBER,target_coef,0.0,,,,,,,,,,0.38182432319827286,1
OPCODE_PREVRANDAO,besu,3.60348802743442e-06,3.5047851701554565e-06,3.710667776791943e-06,test_block_context_ops,PREVRANDAO,target_coef,0.0,,,,,,,,,,0.36034880274344205,1
OPCODE_TIMESTAMP,besu,3.814447734821336e-06,3.7142599854238707e-06,3.9216463797867535e-06,test_block_context_ops,TIMESTAMP,target_coef,0.0,,,,,,,,,,0.3814447734821336,1
OPCODE_GASPRICE,besu,3.4074146277525595e-06,3.2929382260228367e-06,3.519944911215187e-06,test_call_frame_context_ops,GASPRICE,target_coef,0.0,,,,,,,,,,0.34074146277525597,1
OPCODE_ORIGIN,erigon,5.719103704736268e-06,5.43717006119123e-06,6.014931990714971e-06,test_call_frame_context_ops,ORIGIN,target_coef,0.0,,,,,,,,,,0.5719103704736268,1
OPCODE_ADDRESS,erigon,5.569183233537793e-06,5.347979389795539e-06,5.7817447574640695e-06,test_call_frame_context_ops,ADDRESS,target_coef,0.0,,,,,,,,,,0.5569183233537792,1
OPCODE_CALLER,erigon,5.590969187852298e-06,5.343065256528701e-06,5.823883299032809e-06,test_call_frame_context_ops,CALLER,target_coef,0.0,,,,,,,,,,0.5590969187852297,1
OPCODE_CALLVALUE,besu,4.9571051213099935e-06,4.7471240957973135e-06,5.1695168246336665e-06,test_callvalue_from_origin,CALLVALUE,target_coef,0.0,,,,,,,,,,0.49571051213099937,1
OPCODE_CALLDATALOAD,geth,9.117224750294415e-05,8.13073108867677e-05,0.00010163231283739221,test_calldataload,CALLDATALOAD,target_coef,0.0,,1024,,,,,,,,9.117224750294415,10
OPCODE_CALLDATASIZE,besu,3.994445966494949e-06,3.886051302083238e-06,4.106723340388837e-06,test_calldatasize,CALLDATASIZE,target_coef,0.0,,1024,,,,,,,,0.3994445966494949,1
OPCODE_RETURNDATASIZE,besu,5.66249557935352e-06,5.431919436508014e-06,5.898643303268879e-06,test_returndatasize_nonzero,RETURNDATASIZE,target_coef,0.0,,,,,,,,,32,0.5662495579353519,1
OPCODE_CALLDATACOPY_BASE,besu,8.320720568152291e-05,8.269790329183869e-05,8.371640126888606e-05,test_calldatacopy_from_origin,CALLDATACOPY,target_coef,0.0,,1024,,,1048576,,,,,8.320720568152291,9
OPCODE_CALLDATACOPY_PER_WORD,,,,,,,,,,,,,,,,,,,
OPCODE_RETURNDATACOPY_BASE,besu,3.996526151306159e-05,3.909306415384452e-05,4.0911436865838706e-05,test_returndatacopy,RETURNDATACOPY,target_coef,0.0,,,,,1024,,,10240,,3.996526151306159,4
OPCODE_RETURNDATACOPY_PER_WORD,,,,,,,,,,,,,,,,,,,
OPCODE_MLOAD_BASE,besu,1.2473448882896496e-05,1.2149128469015921e-05,1.2775177907393816e-05,test_memory_access,MLOAD,target_coef,0.0,,,,,256,,,,,1.2473448882896496,2
OPCODE_MSTORE_BASE,besu,1.647370940276998e-05,1.6187100191839928e-05,1.673643882242128e-05,test_memory_access,MSTORE,target_coef,0.0,,,,,0,,,,,1.647370940276998,2
OPCODE_MSTORE8_BASE,besu,1.1126984798956496e-05,1.0805741288416107e-05,1.1462204025114389e-05,test_memory_access,MSTORE8,target_coef,0.0,,,,,32,,,,,1.1126984798956496,2
OPCODE_MSIZE,besu,3.794688214122974e-06,3.6829160008351477e-06,3.89860092951136e-06,test_msize,MSIZE,target_coef,0.0,,,,,,,,,,0.37946882141229743,1
OPCODE_MCOPY_BASE,besu,5.100096333548802e-05,5.06916971155873e-05,5.136010407069867e-05,test_mcopy,MCOPY,target_coef,0.0,,,1024,,1048576,,,,,5.1000963335488025,6
OPCODE_MCOPY_PER_WORD,,,,,,,,,,,,,,,,,,,
OPCODE_KECCAK256_BASE,besu,0.00011024073259010317,0.00010933462576723857,0.0001111686529349554,test_keccak_diff_mem_msg_sizes,KECCAK256,target_coef,0.0,,,,,256,,,,,11.024073259010317,12
OPCODE_KECCAK256_PER_WORD,nethermind,2.2335257352194502e-05,2.1960572601967797e-05,2.2731064537375708e-05,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_words,0.0,,,,,1024,,,,,2.2335257352194504,3
PRECOMPILE_ECRECOVER,erigon,0.008464606230444963,0.007916616219446034,0.008927837332487764,test_ecrecover,ECRECOVER,target_coef,0.0,,,,,,,,,,846.4606230444963,847
PRECOMPILE_SHA256_BASE,erigon,0.0009584424454663926,0.0009449718121637441,0.000974854084013296,test_sha256_uncachable,SHA256,target_coef,0.0,,,,,,,,,,95.84424454663927,96
PRECOMPILE_SHA256_PER_WORD,geth,3.0626171070178995e-06,2.987412950602114e-06,3.1400224629909684e-06,test_sha256_uncachable,SHA256,size_words,0.0,,,,,,,,,,0.30626171070179,1
PRECOMPILE_RIPEMD160_BASE,erigon,0.000934379793894315,0.0009258440136324095,0.0009430544424301808,test_ripemd160_uncachable,RIPEMD160,target_coef,0.0,,,,,,,,,,93.4379793894315,94
